text,cleaned_text,source,label
@Ben_Jarelbo Ooo! Not quite as fun as real emergencies...Not that I would hope for real emergencies...Cos that would just be mean ,ooo not quite as fun as real emergencies not that i would hope for real emergencies cos that would just be mean,real-sarcastic-TP,sarcastic
"@BackpackingDad Oh great, just what the world needed—more adventure stories. Good luck with that!",oh great just what the world needed more adventure stories good luck with that,synthetic-sarcastic,sarcastic
driving back to my boss's house because I forgot Luca's carseat was still in my car...the joys of nanny life ,driving back to my boss s house because i forgot luca s carseat was still in my car the joys of nanny life,real-sarcastic-TP,sarcastic
@Kthxilyxxx oh no!! Be careful!!! And haha i knew you would ,oh no be careful and haha i knew you would,real-sarcastic-TP,sarcastic
"Wow, surprise surprise, the 10-day forecast is just nonstop rain. Who needs sunshine anyway?",wow surprise surprise the 10 day forecast is just nonstop rain who needs sunshine anyway,synthetic-sarcastic,sarcastic
"Morning, Twitter friends! Hope you all have a great day ahead.",morning twitter friends hope you all have a great day ahead,synthetic-literal,literal
@StephanieFizer Thanks so much! Your designs are adorable. Looking forward to the mini cards you’re creating for me!,thanks so much your designs are adorable looking forward to the mini cards you re creating for me,synthetic-literal,literal
I feel u bro. Been up since 9 but not able to start getting ready. &gt;@kashaziz: Hate getting up early ,i feel u bro been up since 9 but not able to start getting ready gt hate getting up early,real-literal-TN,literal
I'm very annoyed right now  and I don't really know why,i m very annoyed right now and i don t really know why,real-literal-TN,literal
I feel shitttyyyy. My bestfriend is moving and i'm partially to blame. ,i feel shitttyyyy my bestfriend is moving and i m partially to blame,real-literal-TN,literal
"@theresa_jx sure, and maybe after that you can invent a time machine and fix everything too. No rush!",sure and maybe after that you can invent a time machine and fix everything too no rush,synthetic-sarcastic,sarcastic
"#followfriday @VegasWalkinDude aw, aren't you sweet! Follow this guy for extreme amusement ",aw aren t you sweet follow this guy for extreme amusement,real-sarcastic-TP,sarcastic
@MarciaBrazil ohhh .  well you need to do something else on tv cause your fucking hilarious and definatley my favorite on charm school! ,ohhh well you need to do something else on tv cause your fucking hilarious and definatley my favorite on charm school,real-sarcastic-TP,sarcastic
@girlswim00 why don't you like this site its crazy lol ,why don t you like this site its crazy lol,real-sarcastic-TP,sarcastic
"@foleyfresh lol - no, was busily replying to him &amp; deleting said links just then in fact!  still raging?",lol no was busily replying to him amp deleting said links just then in fact still raging,real-sarcastic-TP,sarcastic
@vickijhanson OMG DID YOU JUST SEE THAT ON BIG BROTHER!? SCARRED FOR LIFE ,omg did you just see that on big brother scarred for life,real-sarcastic-TP,sarcastic
