text,label,original_tweet,source,confidence,word_count,char_count,has_hashtag,has_mention,cleaned_text,english_word_count
"Seeing Jordan head straight into trouble, can’t wait to see what happens next.",literal,Watching jordon walk into his doom mwhahaha ,synthetic,1.0,14,78,0,0,seeing jordan head straight into trouble can t wait to see what happens next,14
"Starving right now, but why can't I get out of bed? Where’s my cookie monster?",literal,"Soo hungry !!, but why am I still in bed?  Got cookie monster!?  ",synthetic,1.0,17,78,0,0,starving right now but why can t i get out of bed where s my cookie monster,17
"Time to head out, parents just checked in. So happy I doubled my count from 80k to 160k in just 4 hours. <3 Catch you later! :)",literal,Gotta go now.  Parent alert again. I currently have 160k and proud about climbing my way up from 80k to 160 in just 4hours. &lt;33 Nighty! :*,synthetic,1.0,26,127,0,0,time to head out parents just checked in so happy i doubled my count from 80k to 160k in just 4 hours 3 catch you later,22
"@ritalavalerie Honestly, ever since you showed me those slims, I can't get enough of them. They’re seriously amazing!",literal,"@ritalavalerie, you know, actually, from the moment you introduced those slims to me, I've become addicted to them xD they're gorgeous ",synthetic,1.0,19,117,0,1,honestly ever since you showed me those slims i can t get enough of them they re seriously amazing,19
"Got two IV drips and a shot in my butt, still got this annoying headache, but the stomach pain is finally gone. Thank goodness, now I can drink water without issues.",literal,"They gave me 2 drips and a shoot in my a$$ &amp; I stell have a freakin headch but the tommy pain is gone, thank god now I can dreank watter  ",synthetic,1.0,31,165,0,0,got two iv drips and a shot in my butt still got this annoying headache but the stomach pain is finally gone thank goodness now i can drink water without issues,31
Feeling awful today... turns out the neighbor’s toddler passed us some nasty 24-hour bug. Just gonna rest and hope it’s over soon.,literal,feel like crap on toast...apparently next door neighbor's 3 yo gave me and rich some 24-hr (hopefully) bug so don't wanna do nothin ,synthetic,1.0,26,130,0,0,feeling awful today turns out the neighbor s toddler passed us some nasty 24 hour bug just gonna rest and hope it s over soon,25
Just finished the final episode of Pushing Daisies and it really hit me hard. Nearly cried but held it together in the end.,literal,Watched the last Pushing Daisies ep before  I had tears in my eyes! Managed to keep myself from completely bursting into tears though,synthetic,1.0,23,123,0,0,just finished the final episode of pushing daisies and it really hit me hard nearly cried but held it together in the end,23
Had a great time at Town House with Tressa. Sang Bush's Machinehead and Shania Twain's From This Moment. Really enjoyable night. Head Head Head!,literal,Went to Town House with tressa sang Bush- Machinehead and Shania Twain- From This moment. It was fun. Head Head Head! ,synthetic,1.0,26,144,0,0,had a great time at town house with tressa sang bush s machinehead and shania twain s from this moment really enjoyable night head head head,26
"Yeah fr, it’s mad cold in STL! Snow’s coming down hard too! &lt;JNB&gt;",literal,I no. Its lyk freezing in stl! Iz lyk snowin n shit!  &lt;JNB&gt;,synthetic,1.0,17,71,0,0,yeah fr it s mad cold in stl snow s coming down hard too lt jnb gt,17
Just hit the 8-month mark in my pregnancy as of yesterday.,literal,"is, as of yesterday, 8 months pregnant. ",synthetic,1.0,12,58,0,0,just hit the 8 month mark in my pregnancy as of yesterday,11
@kaushiklakshman: finally got the first payment... congrats bro! so when’s the party to celebrate? 😄,literal,@kaushiklakshman: first cheque   ... congrats machi... so when shall we meet up for ur treat !! :-p,synthetic,1.0,14,100,0,1,finally got the first payment congrats bro so when s the party to celebrate,14
@katthirteen I really wanted to watch the new movie too. Nick ended up going alone.,literal,@katthirteen i want to see the new movie SO BAD.  nick went without me ,synthetic,1.0,14,83,0,1,i really wanted to watch the new movie too nick ended up going alone,14
"Wish @NickSwisher was still at the Sox games, always made them more fun to watch.",literal,i miss seeing @NickSwisher at Sox games ,synthetic,1.0,14,81,0,1,wish was still at the sox games always made them more fun to watch,14
"finally done with all the exams and papers, this is the aftermath.",literal,so this is how it feels after graduation.. ,synthetic,1.0,12,66,0,0,finally done with all the exams and papers this is the aftermath,12
"@thejetset yeah, I was planning on that too - just not sure if I can make it yet, but appreciate the info!",literal,@thejetset that's exactly what I was going to do - still ain't sure If I'm able to go  thanks though!,synthetic,1.0,20,106,0,1,yeah i was planning on that too just not sure if i can make it yet but appreciate the info,20
Nadia's packing her bags... and here I am stuck waiting... no clue for how long... sigh...,literal,Nadia's preparing her lugages...and i've to stay here until...buh...i don't know...  ,synthetic,1.0,17,90,0,0,nadia s packing her bags and here i am stuck waiting no clue for how long sigh,17
"Still waiting on that crucial email from Katie at The Young Turks... Starting to get anxious here! Please reply soon, I’m really hoping to hear back. Fingers crossed! x",literal,..Patiently awaiting an important e-mail from Katie at The Young Turks.. (UGH! I will go bonkers if they don't reply.. *Que screams*    x,synthetic,1.0,30,168,0,0,still waiting on that crucial email from katie at the young turks starting to get anxious here please reply soon i m really hoping to hear back fingers crossed x,30
"been awake for over 24 hours now, seriously exhausted. just want to crash and get some real sleep asap. can’t wait to finally rest <3",literal,"so now i'm going on over 24 hours with no sleeep. wtf man, i'm so sick of this  i can't wait to get home and sleeeeeeeeeeeeeeep&lt;3",synthetic,1.0,26,133,0,0,been awake for over 24 hours now seriously exhausted just want to crash and get some real sleep asap can t wait to finally rest 3,24
Really enjoy using Pandora on my phone—falling asleep to Andy McKee’s music is so relaxing.,literal,Love having pandora on my phone!!! - listening to andy mckee as I fall asleep ,synthetic,1.0,17,91,0,0,really enjoy using pandora on my phone falling asleep to andy mckee s music is so relaxing,17
@MRRSoftware Appreciate the update. The program works well and the accessibility features are a great addition. Keep it up!,literal,@MRRSoftware thanks.    Really like the program though nice job.  and awesome with the accessibility improvements.,synthetic,1.0,18,123,0,1,appreciate the update the program works well and the accessibility features are a great addition keep it up,18
"I keep telling myself, well done! now fingers crossed everything has been fully revealed in this whole matter..",literal,"i say to myself, gud job!  i just hope it really is if the entire situation has been uncovered.. ",synthetic,1.0,18,111,0,0,i keep telling myself well done now fingers crossed everything has been fully revealed in this whole matter,18
"@KristySlater really excited for the Laidback Luke set too, Armin’s always amazing. Gonna be a bummer missing Guy Gerber though.",literal,@KristySlater i'm an epic ARMIN fan and super pumped for the laidback luke set aswell  im gona miss guy gerber though   ,synthetic,1.0,21,128,0,1,really excited for the laidback luke set too armin s always amazing gonna be a bummer missing guy gerber though,21
"@ChristopherDXS Just found your page thanks to @lipstickscars and @MCTedViaNJ, and I really like what you do. Keep it up! <3",literal,@ChristopherDXS Aww   I just recently discovered you through some friends @lipstickscars @MCTedViaNJ and I think you are amazing. &lt;3,synthetic,1.0,18,124,0,1,just found your page thanks to and and i really like what you do keep it up 3,17
"Woke up feeling all anxious cause my love isn't beside me. Hate this lonely feeling. Miss you so much, babe. <3",literal,Just woke up in a frenzy cuz my bbyboy isn't here.  I hate that empty feeling. I love you babe. &lt;3,synthetic,1.0,22,111,0,0,woke up feeling all anxious cause my love isn t beside me hate this lonely feeling miss you so much babe 3,21
"Osn was so good, wish the stream didn’t cut out early lol",literal,Osn had the bomb sleep wish didn't have to end  lol,synthetic,1.0,13,57,0,0,osn was so good wish the stream didn t cut out early lol,13
Just spent the afternoon on the PS2 playing the SpongeBob SquarePants movie game.,literal,totally playing PS2 and the Spongebob Squarepants movie game ,synthetic,1.0,13,81,0,0,just spent the afternoon on the ps2 playing the spongebob squarepants movie game,12
Just finished organizing my revision notes using Pages '09—makes everything so much clearer and easier to study!,literal,Time to make some revision notes look pretty with the high production values of Pages '09  x,synthetic,1.0,18,112,0,0,just finished organizing my revision notes using pages 09 makes everything so much clearer and easier to study,17
"http://twitpic.com/5osmx here’s my beautiful daughter, it’s amazing to think she had her cleft lip fixed just two months ago.",literal,http://twitpic.com/5osmx my lovely daughter  would u believe she had her cleft lip repaired two months ago?,synthetic,1.0,20,125,0,0,here s my beautiful daughter it s amazing to think she had her cleft lip fixed just two months ago,20
Long nights without sleep.. At school until 6 pm.. Then more work after classes.,literal,sleepless nights.. Now at school till 6'o clock.. Afterthat working at school ,synthetic,1.0,14,80,0,0,long nights without sleep at school until 6 pm then more work after classes,13
@cheeChingy Hope it goes well! I had a tough interview just the other day.,literal,@cheeChingy Good luck! I had one lousy interview few days ago. ,synthetic,1.0,13,74,0,1,hope it goes well i had a tough interview just the other day,13
"I kept checking on my Sims 3 dad, waiting for him to die, before finally getting ready to head to creepy Midwestern... http://plurk.com/p/13cneh",literal,I had to pry myself away from waiting for my sims3 dad to pass away  to get ready to go to creepy midwestern... http://plurk.com/p/13cneh,synthetic,1.0,22,144,0,0,i kept checking on my sims 3 dad waiting for him to die before finally getting ready to head to creepy midwestern,21
